Attribute name,Type,Default value,mandatory
SAI_ACL_ENTRY_ATTR_FIELD_AETH_SYNDROME,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_USER_DEFINED_FIELD_GROUP_MIN,sai_acl_field_data_t sai_u8_list_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_USER_DEFINED_FIELD_GROUP_MAX,sai_acl_field_data_t sai_u8_list_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_ACL_RANGE_TYPE,sai_acl_field_data_t sai_object_list_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_IPV6_NEXT_HEADER,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_GRE_KEY,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_TAM_INT_TYPE,sai_acl_field_data_t sai_tam_int_type_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_INNER_SRC_MAC,sai_acl_field_data_t sai_mac_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_INNER_DST_MAC,sai_acl_field_data_t sai_mac_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_VRF_ID,sai_acl_field_data_t sai_object_id_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_IPMC_NPU_META_DST_HIT,sai_acl_field_data_t bool,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_TUNNEL_TERMINATED,sai_acl_field_data_t bool,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_SRC_PREFIX_META,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_DST_PREFIX_META,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_NEXT_HOP_USER_META,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_ACTION_REDIRECT,sai_acl_action_data_t sai_object_id_t,disabled,FALSE
